config_id,simulation_type,num_of_agents,num_iterations,mio,mio_dist_type,num_of_repetitions,switch_agent_rate,switch_agent_sigma,radical_exposure_eta,truncate_at,epsilon,mark_stubborn_at,display_name,status,timestamp,audit_every_x_iterations
606eefe0-4be8-467c-a1e6-f7a87aa5dcc3,SIMILARITY,100,10000,1.4,DOWN,40,NULL,NULL,NULL,0.0001,0.2,0.1,Epsilon = 0.1,RunStatus.SUCCESS,1674926172767,250.0
ca64e64d-dfaa-4235-a750-adec5ac9698b,SIMILARITY,100,10000,1.6,NULL,40,NULL,NULL,NULL,0.0001,0.2,0.1,Epsilon = 0.1,RunStatus.SUCCESS,1674926172767,250.0
7ad1a132-caf7-48c3-9cd3-190d312f106a,SIMILARITY,100,10000,1.6,UNIFORM,40,NULL,NULL,NULL,0.0001,0.2,0.1,Epsilon = 0.1,RunStatus.SUCCESS,1674926172767,250.0
7f676a81-d65d-4f00-b561-517be5528d16,SIMILARITY,100,10000,1.6,UP,40,NULL,NULL,NULL,0.0001,0.2,0.1,Epsilon = 0.1,RunStatus.SUCCESS,1674926172767,250.0
01605013-9d46-4858-b7a8-f525b6ff7fa9,SIMILARITY,100,10000,1.6,DOWN,40,NULL,NULL,NULL,0.0001,0.2,0.1,Epsilon = 0.1,RunStatus.SUCCESS,1674926172767,250.0
f3297dbd-872b-4459-bcb5-df7b45f8e48a,SIMILARITY,100,10000,1.8,NULL,40,NULL,NULL,NULL,0.0001,0.2,0.1,Epsilon = 0.1,RunStatus.SUCCESS,1674926172767,250.0
0c13b9f1-5624-448c-a4c0-79fcf43ae274,SIMILARITY,100,10000,1.8,UNIFORM,40,NULL,NULL,NULL,0.0001,0.2,0.1,Epsilon = 0.1,RunStatus.SUCCESS,1674926172767,250.0
5330e46c-bf42-4fce-8ffa-1d979ae5483e,SIMILARITY,100,10000,1.8,UP,40,NULL,NULL,NULL,0.0001,0.2,0.1,Epsilon = 0.1,RunStatus.SUCCESS,1674926172767,250.0
c789ecc5-b248-4cb2-ac2f-bc63daf2ebec,SIMILARITY,100,10000,1.8,DOWN,40,NULL,NULL,NULL,0.0001,0.2,0.1,Epsilon = 0.1,RunStatus.SUCCESS,1674926172767,250.0
b44ad612-1257-4e16-9ca4-d4ef905a5fa9,SIMILARITY,100,10000,2.0,NULL,40,NULL,NULL,NULL,0.0001,0.2,0.1,Epsilon = 0.1,RunStatus.SUCCESS,1674926172767,250.0
df7cdb0b-6f55-4742-9cfd-31bf4057e5b3,SIMILARITY,100,10000,2.0,UNIFORM,40,NULL,NULL,NULL,0.0001,0.2,0.1,Epsilon = 0.1,RunStatus.SUCCESS,1674926172767,250.0
ff49a3c2-f624-4950-992b-ea00d0e4afe3,SIMILARITY,100,10000,2.0,UP,40,NULL,NULL,NULL,0.0001,0.2,0.1,Epsilon = 0.1,RunStatus.SUCCESS,1674926172767,250.0
5f2130fb-5e5b-4476-848f-b5fe5c1cda6b,SIMILARITY,100,10000,2.0,DOWN,40,NULL,NULL,NULL,0.0001,0.2,0.1,Epsilon = 0.1,RunStatus.SUCCESS,1674926172767,250.0
0f725929-489e-427c-987d-1fae730fad2b,SIMILARITY,100,10000,2.5,NULL,40,NULL,NULL,NULL,0.0001,0.2,0.1,Epsilon = 0.1,RunStatus.SUCCESS,1674926172767,250.0
f7e25d5b-1d68-48e1-9544-902bc72e68f3,SIMILARITY,100,10000,2.5,UNIFORM,40,NULL,NULL,NULL,0.0001,0.2,0.1,Epsilon = 0.1,RunStatus.SUCCESS,1674926172767,250.0
590509c3-fc83-4585-bc88-22ff7fd9327d,SIMILARITY,100,10000,2.5,UP,40,NULL,NULL,NULL,0.0001,0.2,0.1,Epsilon = 0.1,RunStatus.SUCCESS,1674926172767,250.0
cc65a9c4-7c12-4b2c-8318-977d5abc26c8,SIMILARITY,100,10000,2.5,DOWN,40,NULL,NULL,NULL,0.0001,0.2,0.1,Epsilon = 0.1,RunStatus.SUCCESS,1674926172767,250.0
bc6411cf-bf67-4eb9-99da-fd66ee7b4970,SIMILARITY,100,10000,3.0,NULL,40,NULL,NULL,NULL,0.0001,0.2,0.1,Epsilon = 0.1,RunStatus.SUCCESS,1674926172767,250.0
447afed8-3669-4cf5-aec5-ae5dba4b69ff,SIMILARITY,100,10000,3.0,UNIFORM,40,NULL,NULL,NULL,0.0001,0.2,0.1,Epsilon = 0.1,RunStatus.SUCCESS,1674926172767,250.0
0cf3c3b9-bd39-43b3-a8ab-3a587760bdf0,SIMILARITY,100,10000,3.0,UP,40,NULL,NULL,NULL,0.0001,0.2,0.1,Epsilon = 0.1,RunStatus.SUCCESS,1674926172767,250.0
be2b0fad-166c-4e6b-8662-5109856846d5,SIMILARITY,100,10000,3.0,DOWN,40,NULL,NULL,NULL,0.0001,0.2,0.1,Epsilon = 0.1,RunStatus.SUCCESS,1674926172767,250.0
1a933a41-4eb9-4bea-bd29-69c029f6d64d,SIMILARITY,100,10000,3.5,NULL,40,NULL,NULL,NULL,0.0001,0.2,0.1,Epsilon = 0.1,RunStatus.SUCCESS,1674926172767,250.0
9297ef8f-0dc1-4a6b-a1fb-1c0a6f43517e,SIMILARITY,100,10000,3.5,UNIFORM,40,NULL,NULL,NULL,0.0001,0.2,0.1,Epsilon = 0.1,RunStatus.SUCCESS,1674926172767,250.0
3339ebcd-2b93-466a-88e5-cff2bd9cba72,SIMILARITY,100,10000,3.5,UP,40,NULL,NULL,NULL,0.0001,0.2,0.1,Epsilon = 0.1,RunStatus.SUCCESS,1674926172767,250.0
114b9449-70ee-400e-96d6-09576e8df1ce,SIMILARITY,100,10000,3.5,DOWN,40,NULL,NULL,NULL,0.0001,0.2,0.1,Epsilon = 0.1,RunStatus.SUCCESS,1674926172767,250.0
57b75bf4-994a-4c45-9703-ab52c9568c20,SIMILARITY,100,10000,4.0,NULL,40,NULL,NULL,NULL,0.0001,0.2,0.1,Epsilon = 0.1,RunStatus.SUCCESS,1674926172767,250.0
d4dffe94-8b78-49f8-be68-9276de20acac,SIMILARITY,100,10000,4.0,UNIFORM,40,NULL,NULL,NULL,0.0001,0.2,0.1,Epsilon = 0.1,RunStatus.SUCCESS,1674926172767,250.0
d80482a1-5006-4854-aa5c-297fa41b597d,SIMILARITY,100,10000,4.0,UP,40,NULL,NULL,NULL,0.0001,0.2,0.1,Epsilon = 0.1,RunStatus.SUCCESS,1674926172767,250.0
1637b7a7-a10e-490b-ac70-60eb7abb949e,SIMILARITY,100,10000,4.0,DOWN,40,NULL,NULL,NULL,0.0001,0.2,0.1,Epsilon = 0.1,RunStatus.SUCCESS,1674926172767,250.0
